VOLUME_GB,VALOR_UD,PROJETO,TIPO_PROCESSAMENTO,PONTOS_PROCESSAMENTO,PUBLICIDADE,PROGRAMA,TIPO_PROGRAMA,TECNOLOGIA,INICIO,TERMINO,IDADE,DATA_PUBLICIDADE,BLOCO,CAMPO,BACIA,CLASS_BACIA,EAD,OPERADORA
, ,0022_GREATERBRASILSPAN_SUBSET2,Field Data,0,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
, ,0022_GREATERBRASILSPAN_SUBSET3A,Field Data,0,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
, ,0022_GREATERBRASILSPAN_SUBSET3B,Field Data,0,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
36.836.915,1,0022_PELOTAS_BMP2,MIG PSTM,1.5,Confidencial,0022_PELOTAS_BMP2,Nao-Exclusivo,Sismica 2D,27/11/2008,26/01/2009,14,26/01/2027, , ,multiplas,6,GX Technology,
, ,0022_PELOTAS_BMP2,Field Data,0,Confidencial,0022_PELOTAS_BMP2,Nao-Exclusivo,Sismica 2D,27/11/2008,26/01/2009,14,26/01/2027, , ,multiplas,6,GX Technology,
0.5213193,1,0023_2D_SAO_FRANCISCO,PSTM,3.75,Publico,0023_2D_SAO_FRANCISCO,Exclusivo,Sismica 2D,20/06/2008,19/12/2008,15,19/12/2013,multiplos, ,Sao Francisco,8.5,PGS,Petrobras
, ,0023_2D_SAO_FRANCISCO_RM14,Field Data,0,Publico,0023_2D_SAO_FRANCISCO,Exclusivo,Sismica 2D,20/06/2008,19/12/2008,15,19/12/2013,multiplos, ,Sao Francisco,8.5,PGS,Petrobras
0.03001173,1,0026_2D_ALECRIM_UPANEMA_PSTM,PSTM,3.75,Publico,0026_2D_ALECRIM_UPANEMA,Exclusivo,Sismica 2D,16/03/2007,25/03/2007,16,25/03/2012,POT-T-744, ,Potiguar,0,Petrobras,Petrobras
, ,0026_2D_ALECRIM_UPANEMA_RM14,Field Data,0,Publico,0026_2D_ALECRIM_UPANEMA,Exclusivo,Sismica 2D,16/03/2007,25/03/2007,16,25/03/2012,POT-T-744, ,Potiguar,0,Petrobras,Petrobras
0.114835,1,0026_2D_BAIXO_DE_CAMACARI,POST-STM,2.5,Publico,0026_2D_BAIXO_DE_CAMACARI,Exclusivo,Sismica 2D,19/12/2011,28/12/2011,12,28/12/2016, ,CAMAcARI,Reconcavo,6,Geokinetics,Petrobras
, ,0026_2D_BAIXO_DE_CAMACARI,Field Data,0,Publico,0026_2D_BAIXO_DE_CAMACARI,Exclusivo,Sismica 2D,19/12/2011,28/12/2011,12,28/12/2016, ,CAMAcARI,Reconcavo,6,Geokinetics,Petrobras
0.09516302,1,0026_2D_CEXIS_CAMACARI_PSTM,PSTM,3.75,Publico,0026_2D_CEXIS_CAMACARI,Exclusivo,Sismica 2D,18/11/2005,23/12/2005,18,23/12/2010,BT-REC-7, ,Reconcavo,6,Petrobras,Petrobras
1.053.240.179,1,0026_2D_CEXIS_CAMACARI_RM17,Field Data,0,Publico,0026_2D_CEXIS_CAMACARI,Exclusivo,Sismica 2D,18/11/2005,23/12/2005,18,23/12/2010,BT-REC-7, ,Reconcavo,6,Petrobras,Petrobras
0.0337763,1,0026_2D_FURADO,PSTM,3.75,Publico,0026_2D_FURADO,Exclusivo,Sismica 2D,24/09/2008,29/09/2008,15,29/09/2013, ,FURADO,Alagoas,6,Petrobras,Petrobras
1.764.110.645,1,0026_2D_FURADO_RM17,Field Data,0,Publico,0026_2D_FURADO,Exclusivo,Sismica 2D,24/09/2008,29/09/2008,15,29/09/2013, ,FURADO,Alagoas,6,Petrobras,Petrobras
0.06189951,1,0026_2D_IPANGUACU,POST-STM,2.5,Publico,0026_2D_IPANGUACU,Exclusivo,Sismica 2D,26/01/2007,10/04/2007,16,10/04/2012,multiplos, ,Potiguar,0,Petrobras,Petrobras
1.899.411.804,1,0026_2D_IPANGUACU_RM17,Field Data,0,Publico,0026_2D_IPANGUACU,Exclusivo,Sismica 2D,26/01/2007,10/04/2007,16,10/04/2012,multiplos, ,Potiguar,0,Petrobras,Petrobras
, ,0026_2D_IPANGUACU_RM14,Field Data,0,Publico,0026_2D_IPANGUACU,Exclusivo,Sismica 2D,26/01/2007,10/04/2007,16,10/04/2012,multiplos, ,Potiguar,0,Petrobras,Petrobras
0.3013536,1,0026_2D_ITANHAUA_JUMA,MIG FIN,1,Publico,0026_2D_ITANHAUA_JUMA,Exclusivo,Sismica 2D,08/09/2003,31/01/2004,19,31/01/2009,BT-SOL-1, ,Solimoes,7,Petrobras,Petrobras
1.229.472.024,1.229.472.024,0026_2D_ITANHAUA_JUMA_RM17,Field Data,0,Publico,0026_2D_ITANHAUA_JUMA,Exclusivo,Sismica 2D,08/09/2003,31/01/2004,19,31/01/2009,BT-SOL-1, ,Solimoes,7,Petrobras,Petrobras
, ,0026_2D_ITANHAUA_JUMA,Field Data,0,Publico,0026_2D_ITANHAUA_JUMA,Exclusivo,Sismica 2D,08/09/2003,31/01/2004,19,31/01/2009,BT-SOL-1, ,Solimoes,7,Petrobras,Petrobras
2.847.213.608,1,0026_2D_RIACHO_DE_SAO_FRANCISCO_RM17,Field Data,0,Publico,0026_2D_RIACHO_DE_SAO_FRANCISCO,Exclusivo,Sismica 2D,15/02/2006,28/02/2006,17,28/02/2011,multiplos, ,Potiguar,0,Petrobras,Petrobras
0.5207065,1,0026_2D_SD_PARECIS_TELES_PIRES_PSTM,PSTM,3.75,Publico,0026_2D_SD_PARECIS_TELES_PIRES,Exclusivo,Sismica 2D,14/05/2014,27/08/2014,9,27/08/2019,multiplos, ,Parecis - Alto Xingu,8.5,Petrobras,Petrobras
, ,0026_2D_SD_PARECIS_TELES_PIRES,Field Data,0,Publico,0026_2D_SD_PARECIS_TELES_PIRES,Exclusivo,Sismica 2D,14/05/2014,27/08/2014,9,27/08/2019,multiplos, ,Parecis - Alto Xingu,8.5,Petrobras,Petrobras
0.02248558,1,0026_2D_SE_DE_ICAPUI_PSTM,PSTM,3.75,Publico,0026_2D_SE_DE_ICAPUI,Exclusivo,Sismica 2D,17/05/2006,08/06/2006,17,08/06/2011,multiplos, ,Potiguar,0,Petrobras,Petrobras
0.00448139,1,0026_2D_SE_DE_ICAPUI_POSTSTM,POST-STM,2.5,Publico,0026_2D_SE_DE_ICAPUI,Exclusivo,Sismica 2D,17/05/2006,08/06/2006,17,08/06/2011,multiplos, ,Potiguar,0,Petrobras,Petrobras
1.959.508.667,1,0026_2D_SE_DE_ICAPUI,Field Data,0,Publico,0026_2D_SE_DE_ICAPUI,Exclusivo,Sismica 2D,17/05/2006,08/06/2006,17,08/06/2011,multiplos, ,Potiguar,0,Petrobras,Petrobras
0.0158028,1,0026_2D_SUL_DE_ICAPUI_POSTSTM,POST-STM,2.5,Publico,0026_2D_SUL_DE_ICAPUI,Exclusivo,Sismica 2D,11/02/2007,13/04/2007,16,13/04/2012,POT-T-196, ,Potiguar,0,Petrobras,Petrobras
0.591599182,1,0026_2D_SUL_DE_ICAPUI_RM17,Field Data,0,Publico,0026_2D_SUL_DE_ICAPUI,Exclusivo,Sismica 2D,11/02/2007,13/04/2007,16,13/04/2012,POT-T-196, ,Potiguar,0,Petrobras,Petrobras
0.04429042,1,0026_2D_VILA_PIAUI_PSTM,PSTM,3.75,Publico,0026_2D_VILA_PIAUI,Exclusivo,Sismica 2D,28/11/2005,31/12/2005,18,31/12/2010,POT-T-391, ,Potiguar,0,Petrobras,Petrobras
8.633.917.285,1,0026_2D_VILA_PIAUI,Field Data,0,Publico,0026_2D_VILA_PIAUI,Exclusivo,Sismica 2D,28/11/2005,31/12/2005,18,31/12/2010,POT-T-391, ,Potiguar,0,Petrobras,Petrobras
0.4803112,1,0026_3D_AGUILHADA,POST-STM,2.5,Publico,0026_3D_AGUILHADA,Exclusivo,Sismica 3D,28/10/2008,12/12/2008,15,12/12/2013, ,AGUILHADA,Sergipe,6,Petrobras,Petrobras
4.354.224.097,1,0026_3D_AGUILHADA_RM17,Field Data,0,Publico,0026_3D_AGUILHADA,Exclusivo,Sismica 3D,28/10/2008,12/12/2008,15,12/12/2013, ,AGUILHADA,Sergipe,6,Petrobras,Petrobras
, ,0026_3D_AGUILHADA_RM14,Field Data,0,Publico,0026_3D_AGUILHADA,Exclusivo,Sismica 3D,28/10/2008,12/12/2008,15,12/12/2013, ,AGUILHADA,Sergipe,6,Petrobras,Petrobras
105.312.456,210.624.912,0026_3D_ARACAS,PSTM,3.75,Publico,0026_3D_ARACAS,Exclusivo,Sismica 3D,25/12/2008,19/06/2009,14,19/06/2014,REC-T-96,multiplos,Reconcavo,6,Petrobras,Petrobras
, ,0026_3D_ARACAS,Field Data,0,Publico,0026_3D_ARACAS,Exclusivo,Sismica 3D,25/12/2008,19/06/2009,14,19/06/2014,REC-T-96,multiplos,Reconcavo,6,Petrobras,Petrobras
20.512.296,1,0026_3D_BARRA_DO_IPIRANGA,PSTM,3.75,Publico,0026_3D_BARRA_DO_IPIRANGA,Exclusivo,Sismica 3D,22/11/2013,11/03/2014,9,11/03/2019, ,multiplos,Espirito Santo,6,Geokinetics,Petrobras
20.512.296,1,0026_3D_BARRA_DO_IPIRANGA_VEL,PSTM,3.75,Publico,0026_3D_BARRA_DO_IPIRANGA,Exclusivo,Sismica 3D,22/11/2013,11/03/2014,9,11/03/2019, ,multiplos,Espirito Santo,6,Geokinetics,Petrobras
, ,0026_3D_BARRA_DO_IPIRANGA,Field Data,0,Publico,0026_3D_BARRA_DO_IPIRANGA,Exclusivo,Sismica 3D,22/11/2013,11/03/2014,9,11/03/2019, ,multiplos,Espirito Santo,6,Geokinetics,Petrobras
0.3062608,1,0026_3D_BONSUCESSO_BSU,MIG FIN,1,Publico,0026_3D_BONSUCESSO_BSU,Exclusivo,Sismica 3D,17/11/2002,17/12/2002,21,17/12/2007, ,BONSUCESSO,Reconcavo,6,Petrobras,Petrobras
, ,0026_3D_BONSUCESSO_BSU_RM16,Field Data,0,Publico,0026_3D_BONSUCESSO_BSU,Exclusivo,Sismica 3D,17/11/2002,17/12/2002,21,17/12/2007, ,BONSUCESSO,Reconcavo,6,Petrobras,Petrobras
1.323.029.164,1,0026_3D_BT_REC_19_MASSUI_PSTM,PSTM,3.75,Publico,0026_3D_BT_REC_19_MASSUI,Exclusivo,Sismica 3D,26/12/2005,11/02/2006,17,11/02/2011,multiplos, ,Reconcavo,6,Petrobras,Petrobras
