VOLUME_GB,VALOR_UD,PROJETO,TIPO_PROCESSAMENTO,PUBLICIDADE,PROGRAMA,TIPO_PROGRAMA,TECNOLOGIA,INICIO,TERMINO,IDADE,DATA_PUBLICIDADE,BLOCO,CAMPO,BACIA,EAD,OPERADORA,PONTOS_BACIA,PONTOS_PROC,PONTOS_TEC,PONTOS_TIME
0.3013536,1,0026_2D_ITANHAUA_JUMA,MIG FIN,Publico,0026_2D_ITANHAUA_JUMA,Exclusivo,Sismica 2D,08/09/2003,31/01/2004,19,31/01/2009,BT-SOL-1, ,Solimoes,Petrobras,Petrobras,0.4,0.7,0,-0.3
2.847213608,1,0026_2D_RIACHO_DE_SAO_FRANCISCO_RM17,Field Data,Publico,0026_2D_RIACHO_DE_SAO_FRANCISCO,Exclusivo,Sismica 2D,15/02/2006,28/02/2006,17,28/02/2011,multiplos, ,Potiguar,Petrobras,Petrobras,1,1,0,-0.3
,,0026_2D_SD_PARECIS_TELES_PIRES,Field Data,Publico,0026_2D_SD_PARECIS_TELES_PIRES,Exclusivo,Sismica 2D,14/05/2014,27/08/2014,9,27/08/2019,multiplos, ,Parecis - Alto Xingu,Petrobras,Petrobras,0.2,1,0,0.6
0.5207065,1,0026_2D_SD_PARECIS_TELES_PIRES_PSTM,PSTM,Publico,0026_2D_SD_PARECIS_TELES_PIRES,Exclusivo,Sismica 2D,14/05/2014,27/08/2014,9,27/08/2019,multiplos, ,Parecis - Alto Xingu,Petrobras,Petrobras,0.2,-0.5,0,0.6
1.959508667,1,0026_2D_SE_DE_ICAPUI,Field Data,Publico,0026_2D_SE_DE_ICAPUI,Exclusivo,Sismica 2D,17/05/2006,08/06/2006,17,08/06/2011,multiplos, ,Potiguar,Petrobras,Petrobras,1,1,0,-0.3
0.00448139,1,0026_2D_SE_DE_ICAPUI_POSTSTM,POST-STM,Publico,0026_2D_SE_DE_ICAPUI,Exclusivo,Sismica 2D,17/05/2006,08/06/2006,17,08/06/2011,multiplos, ,Potiguar,Petrobras,Petrobras,1,-0.1,0,-0.3
0.02248558,1,0026_2D_SE_DE_ICAPUI_PSTM,PSTM,Publico,0026_2D_SE_DE_ICAPUI,Exclusivo,Sismica 2D,17/05/2006,08/06/2006,17,08/06/2011,multiplos, ,Potiguar,Petrobras,Petrobras,1,-0.5,0,-0.3
0.591599182,1,0026_2D_SUL_DE_ICAPUI_RM17,Field Data,Publico,0026_2D_SUL_DE_ICAPUI,Exclusivo,Sismica 2D,11/02/2007,13/04/2007,16,13/04/2012,POT-T-196, ,Potiguar,Petrobras,Petrobras,1,1,0,-0.3
0.0158028,1,0026_2D_SUL_DE_ICAPUI_POSTSTM,POST-STM,Publico,0026_2D_SUL_DE_ICAPUI,Exclusivo,Sismica 2D,11/02/2007,13/04/2007,16,13/04/2012,POT-T-196, ,Potiguar,Petrobras,Petrobras,1,-0.1,0,-0.3
86.33917285,1,0026_2D_VILA_PIAUI,Field Data,Publico,0026_2D_VILA_PIAUI,Exclusivo,Sismica 2D,28/11/2005,31/12/2005,18,31/12/2010,POT-T-391, ,Potiguar,Petrobras,Petrobras,1,1,0,-0.3
0.04429042,1,0026_2D_VILA_PIAUI_PSTM,PSTM,Publico,0026_2D_VILA_PIAUI,Exclusivo,Sismica 2D,28/11/2005,31/12/2005,18,31/12/2010,POT-T-391, ,Potiguar,Petrobras,Petrobras,1,-0.5,0,-0.3
,,0026_3D_AGUILHADA_RM14,Field Data,Publico,0026_3D_AGUILHADA,Exclusivo,Sismica 3D,28/10/2008,12/12/2008,15,12/12/2013, ,AGUILHADA,Sergipe,Petrobras,Petrobras,1,1,1,-0.3
43.54224097,1,0026_3D_AGUILHADA_RM17,Field Data,Publico,0026_3D_AGUILHADA,Exclusivo,Sismica 3D,28/10/2008,12/12/2008,15,12/12/2013, ,AGUILHADA,Sergipe,Petrobras,Petrobras,1,1,1,-0.3
0.4803112,1,0026_3D_AGUILHADA,POST-STM,Publico,0026_3D_AGUILHADA,Exclusivo,Sismica 3D,28/10/2008,12/12/2008,15,12/12/2013, ,AGUILHADA,Sergipe,Petrobras,Petrobras,1,-0.1,1,-0.3
,,0026_3D_ARACAS,Field Data,Publico,0026_3D_ARACAS,Exclusivo,Sismica 3D,25/12/2008,19/06/2009,14,19/06/2014,REC-T-96,multiplos,Reconcavo,Petrobras,Petrobras,0.37,1,1,-0.3
10.5312456,2.10624912,0026_3D_ARACAS,PSTM,Publico,0026_3D_ARACAS,Exclusivo,Sismica 3D,25/12/2008,19/06/2009,14,19/06/2014,REC-T-96,multiplos,Reconcavo,Petrobras,Petrobras,0.37,-0.5,1,-0.3
,,0026_3D_BARRA_DO_IPIRANGA,Field Data,Publico,0026_3D_BARRA_DO_IPIRANGA,Exclusivo,Sismica 3D,22/11/2013,11/03/2014,9,11/03/2019, ,multiplos,Espirito Santo,Geokinetics,Petrobras,0.55,1,1,0.6
2.0512296,1,0026_3D_BARRA_DO_IPIRANGA,PSTM,Publico,0026_3D_BARRA_DO_IPIRANGA,Exclusivo,Sismica 3D,22/11/2013,11/03/2014,9,11/03/2019, ,multiplos,Espirito Santo,Geokinetics,Petrobras,0.55,-0.5,1,0.6
2.0512296,1,0026_3D_BARRA_DO_IPIRANGA_VEL,PSTM,Publico,0026_3D_BARRA_DO_IPIRANGA,Exclusivo,Sismica 3D,22/11/2013,11/03/2014,9,11/03/2019, ,multiplos,Espirito Santo,Geokinetics,Petrobras,0.55,-0.5,1,0.6
,,0026_3D_BONSUCESSO_BSU_RM16,Field Data,Publico,0026_3D_BONSUCESSO_BSU,Exclusivo,Sismica 3D,17/11/2002,17/12/2002,21,17/12/2007, ,BONSUCESSO,Reconcavo,Petrobras,Petrobras,0.37,1,1,-0.3
0.3062608,1,0026_3D_BONSUCESSO_BSU,MIG FIN,Publico,0026_3D_BONSUCESSO_BSU,Exclusivo,Sismica 3D,17/11/2002,17/12/2002,21,17/12/2007, ,BONSUCESSO,Reconcavo,Petrobras,Petrobras,0.37,0.7,1,-0.3
,,0026_3D_BT_REC_19_MASSUI_RM14,Field Data,Publico,0026_3D_BT_REC_19_MASSUI,Exclusivo,Sismica 3D,26/12/2005,11/02/2006,17,11/02/2011,multiplos, ,Reconcavo,Petrobras,Petrobras,0.37,1,1,-0.3
55.66538855,1,0026_3D_BT_REC_19_MASSUI_RM17,Field Data,Publico,0026_3D_BT_REC_19_MASSUI,Exclusivo,Sismica 3D,26/12/2005,11/02/2006,17,11/02/2011,multiplos, ,Reconcavo,Petrobras,Petrobras,0.37,1,1,-0.3
1.323029164,1,0026_3D_BT_REC_19_MASSUI_PSTM,PSTM,Publico,0026_3D_BT_REC_19_MASSUI,Exclusivo,Sismica 3D,26/12/2005,11/02/2006,17,11/02/2011,multiplos, ,Reconcavo,Petrobras,Petrobras,0.37,-0.5,1,-0.3
20.7484185,1,0026_3D_BT_REC_19_SDS_RM17,Field Data,Publico,0026_3D_BT_REC_19_SDS,Exclusivo,Sismica 3D,07/05/2005,15/11/2005,18,15/11/2010,multiplos, ,Reconcavo,Petrobras,Petrobras,0.37,1,1,-0.3
2.306015007,1,0026_3D_BT_REC_19_SDS_PSTM,PSTM,Publico,0026_3D_BT_REC_19_SDS,Exclusivo,Sismica 3D,07/05/2005,15/11/2005,18,15/11/2010,multiplos, ,Reconcavo,Petrobras,Petrobras,0.37,-0.5,1,-0.3
,,0026_3D_BTES-25_RM14,Field Data,Publico,0026_3D_BTES-25,Exclusivo,Sismica 3D,12/06/2006,19/07/2006,17,19/07/2011,multiplos, ,Espirito Santo,Petrobras,Petrobras,0.55,1,1,-0.3
110.7851613,1.107851613,0026_3D_BTES-25_RM17,Field Data,Publico,0026_3D_BTES-25,Exclusivo,Sismica 3D,12/06/2006,19/07/2006,17,19/07/2011,multiplos, ,Espirito Santo,Petrobras,Petrobras,0.55,1,1,-0.3
0.308967949,1,0026_3D_BTES-25_PSTM,PSTM,Publico,0026_3D_BTES-25,Exclusivo,Sismica 3D,12/06/2006,19/07/2006,17,19/07/2011,multiplos, ,Espirito Santo,Petrobras,Petrobras,0.55,-0.5,1,-0.3
,,0026_3D_BTREC_11,Field Data,Publico,0026_3D_BTREC_11,Exclusivo,Sismica 3D,04/02/2005,28/03/2005,18,28/03/2010,REC-T-41, ,Reconcavo,Petrobras,Petrobras,0.37,1,1,-0.3
0.552354,1,0026_3D_BTREC_11_PSTM,PSTM,Publico,0026_3D_BTREC_11,Exclusivo,Sismica 3D,04/02/2005,28/03/2005,18,28/03/2010,REC-T-41, ,Reconcavo,Petrobras,Petrobras,0.37,-0.5,1,-0.3
0.0006069,1,0026_3D_BTREC_11_VEL,PSTM,Publico,0026_3D_BTREC_11,Exclusivo,Sismica 3D,04/02/2005,28/03/2005,18,28/03/2010,REC-T-41, ,Reconcavo,Petrobras,Petrobras,0.37,-0.5,1,-0.3
1.121433,1,0026_3D_CAMACARI,PSTM,Publico,0026_3D_CAMACARI,Exclusivo,Sismica 3D,12/12/2011,21/12/2011,12,21/12/2016, ,CAMAcARI,Reconcavo,Petrobras,Petrobras,0.37,-0.5,1,-0.3
